,Time,Date,AQI
138,10:30:00,2023-02-02,124.18055555555557
139,10:45:00,2023-02-02,124.27777777777777
140,11:00:00,2023-02-02,124.61805555555557
141,11:15:00,2023-02-02,124.95833333333333
142,11:30:00,2023-02-02,125.2986111111111
143,11:45:00,2023-02-02,125.6388888888889
144,12:00:00,2023-02-02,125.9236111111111
145,12:15:00,2023-02-02,126.20833333333333
146,12:30:00,2023-02-02,126.49305555555557
147,12:45:00,2023-02-02,126.77777777777777
148,13:00:00,2023-02-02,127.14583333333333
149,13:15:00,2023-02-02,127.51388888888889
150,13:30:00,2023-02-02,127.88194444444444
151,13:45:00,2023-02-02,128.25
152,14:00:00,2023-02-02,128.68055555555557
153,14:15:00,2023-02-02,129.11111111111111
154,14:30:00,2023-02-02,129.54166666666666
155,14:45:00,2023-02-02,129.97222222222223
156,15:00:00,2023-02-02,130.54861111111111
157,15:15:00,2023-02-02,131.125
158,15:30:00,2023-02-02,131.70138888888889
159,15:45:00,2023-02-02,132.27777777777777
160,16:00:00,2023-02-02,132.71527777777777
161,16:15:00,2023-02-02,133.15277777777777
162,16:30:00,2023-02-02,133.59027777777777
163,16:45:00,2023-02-02,134.02777777777777
164,17:00:00,2023-02-02,134.29166666666666
165,17:15:00,2023-02-02,134.55555555555554
166,17:30:00,2023-02-02,134.81944444444446
167,17:45:00,2023-02-02,135.08333333333334
168,18:00:00,2023-02-02,134.96527777777777
169,18:15:00,2023-02-02,134.84722222222223
170,18:30:00,2023-02-02,134.72916666666666
171,18:45:00,2023-02-02,134.61111111111111
172,19:00:00,2023-02-02,133.84722222222223
173,19:15:00,2023-02-02,133.08333333333334
174,19:30:00,2023-02-02,132.31944444444446
175,19:45:00,2023-02-02,131.55555555555557
176,20:00:00,2023-02-02,132.96527777777777
177,20:15:00,2023-02-02,134.375
178,20:30:00,2023-02-02,135.78472222222223
179,20:45:00,2023-02-02,137.19444444444446
180,21:00:00,2023-02-02,138.48611111111111
181,21:15:00,2023-02-02,139.77777777777777
182,21:30:00,2023-02-02,141.06944444444446
183,21:45:00,2023-02-02,142.36111111111111
184,22:00:00,2023-02-02,143.88888888888889
185,22:15:00,2023-02-02,145.41666666666666
